,name,age,study,skills,professional interests,private interests,social skills,vote
0,Aarav Patel,24,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Amateur astronomy, environmental conservation, fusion cooking, endurance sports, digital art.","Strong in team collaboration and communication, curious with a knack for deep questions, adaptable, perfectionist with a blend of humor and empathy.",B
1,Mingyu Lee,21,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Experimental cooking, vintage tech, urban gardening, extreme sports photography, DIY robotics.","Strong communicator and problem solver, empathetic and adaptable, analytical in social situations, ambitious but needs to balance personal relationships.",B
2,Isabella Smith,22,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","Amateur astronomy, environmental conservation, fusion cooking, endurance sports, digital art.","Skilled in translating technical concepts, prone to over-analysis, empathetic in teams, inventive problem solver, strong but sometimes overwhelmed online community manager.",B
3,Fatima Al-Farsi,24,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","VR ancient civilization exploration, puzzle competitions, eco-friendly gadget blogging, aeroponic gardening, electronic music composition.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
4,Yara Da Silva,20,Machine technologies,"Proficient in Maths & Physics, mechanics, fluid dynamics, thermodynamics. Knows material science for sports/medical innovations. Skilled in measurement/control tech and project-based learning.","Sustainable energy solutions, humanitarian engineering, educational/domestic robotics, environmental conservation tech, community tech projects.","Music production, environmental advocacy, rock climbing, VR gaming, culinary fusion.","Skilled in translating technical concepts, prone to over-analysis, empathetic in teams, inventive problem solver, strong but sometimes overwhelmed online community manager.",A
5,Jaxon Taylor,25,Information technologies,"Proficient in software dev, network infrastructures, database management, cyber security, and computing theories.","Sustainable computing, digital archaeology tech, autonomous space exploration systems, AR for wildlife, wearable pet tech.","Diverse cuisine exploration, rock climbing, digital art with GANs, animal welfare, language learning.","Excellent in teamwork, clear communicator of complex concepts, highly empathetic, adaptable, prefers dynamic environments over routine tasks.",B
6,Anya Ivanova,22,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Diverse cuisine exploration, rock climbing, digital art with GANs, animal welfare, language learning.","Empathetic listener, reserved in new settings, direct communicator, strong in one-on-one connections, finds large group dynamics challenging.",B
7,Omar Al-Hakim,22,Electronics engineering,"Mastery in microelectronics, electrical drives, wireless communications, embedded AI, and sustainable solutions.","Digital health devices, electric vehicle development, intelligent energy systems, IoT advancements, quantum computing integration.","Experimental cooking, vintage tech, urban gardening, extreme sports photography, DIY robotics.","Skilled communicator and team player, highly adaptable, creative problem solver, empathetic but occasionally too absorbed in details.",A
8,Sofia González,24,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Urban gardening, experimental music, retro-futuristic art, animal rescue volunteering, astrophotography.","Effective in team collaboration, empathetic, analytical in social contexts, strong communicator, focused on data with room for emotional considerations.",B
9,Ethan Watanabe,19,Industrial engineering,"Mastery in business/engineering integration, process optimization, innovative design, data analytics, and tech integration.","Green manufacturing tech, AI ethics, space mission logistics, VR process simulation, renewable energy in industry.","Molecular gastronomy, digital urban exploration, competitive robotics, interactive digital art, conlangs for programming.","Effective in teamwork and communication, highly adaptable, detail-oriented, sometimes struggles with time management and broader project goals.",B
